No,企業名,主要三品目①,主要三品目②,主要三品目③,企業HP
659,株式会社オーハマ,一品物の切削部品から真空、射出簡易型製作と試作開発品、量産型製作と量産品の製造,射出成形（試作、量産）,真空成形（試作、量産）,https://www.nc-net.or.jp//company/3041/
660,タミー株式会社,精密金型　設計・製作（プラスチック金型、CIM金型、MIM金型、ダイカスト金型）,精密セラミックス成形品の開発協力・試作・量産,精密プラスチック成形品の開発協力・試作・量産,https://www.nc-net.or.jp//company/64328/
661,株式会社極東精機製作所,小型クランク軸加工,車輌油圧部品,電動ホイスト部品,https://www.nc-net.or.jp//company/69686/
662,株式会社Prodetech,タンケーブル、ダクト、空気圧システム,車輌油圧部品,電動ホイスト部品,https://www.nc-net.or.jp//company/86033/
663,株式会社Co khi Xay lap Thuong mai Minh Cuong,鉄鋼加工,機械加工,電動ホイスト部品,https://www.nc-net.or.jp//company/85496/
664,上海朝洋機電設備有限公司,ショットブラスト材（ショットブラスト材材質：ステーレス、アルミ、銅など。ショットブラスト材形状：針型、ボール型など）,ダイキャスト（材質：アルミ、特殊材料）,久富ダイキャスト㈱,https://www.nc-net.or.jp//company/85663/
665,フィリール株式会社,金属機械部品,フライス,旋盤,https://www.nc-net.or.jp//company/92077/
666,株式会社ブラストン,縫製加工（ユニフォーム、クリーンウェア類,ユニフォーム（作業服・オフィスウェア・ワーキングウェア・サービスウェア）,BCクリーン（クリーンルーム用品・各消耗品）,https://www.nc-net.or.jp//company/94526/
667,エナジーセッケイ機械設計事務所,カスタマイズ専用研削盤・工作機械の機械設計,省力化機械・自動機の機械設計,搬送装置・ロボット・安全柵の機械設計,https://www.nc-net.or.jp//company/75954/
668,東莞市固達機械製造有限会社,機械製造販売：1）両頭フライス盤　2）プラノミラー　3）縦フライス盤　4）丸鋸切断機  5）帯鋸機 　6）門型研磨盤　7）面取機 　8）油圧翻板機　9）マシニングセンタ,省力化機械・自動機の機械設計,搬送装置・ロボット・安全柵の機械設計,https://www.nc-net.or.jp//company/95140/
669,アサヒ通信株式会社,車載オーディオ関連のワイヤーハーネス,AV機器関連のワイヤーハーネス,民生機器関連のワイヤーハーネス,https://www.nc-net.or.jp//company/88928/
670,株式会社ユニオンクリエーション,"精密自動機パーツ,部品","金型パーツ,部品","治具,治工具",https://www.nc-net.or.jp//company/87644/
671,株式会社ベータ,マシニング加工（民生・産業用ロボット部品・液晶製造装置部品・医療機器部品）,NC旋盤・CNC自動旋盤加工（民生・産業用ロボット部品・液晶製造装置部品・医療機器部品）,研削加工（工作機械部品・特殊工具・金型治具・モーター軸・砥石軸）,https://www.nc-net.or.jp//company/80665/
672,Nhat Minh COMPANY LIMITED,金属部品加工切削工具販売,各種工作機械、精密測定器、消耗品販売,日本企業様向けの部品ｱｳﾄｿｰｼﾝｸﾞ仲介,https://www.nc-net.or.jp//company/87688/
673,株式会社ナガセ,フランジ・継手類,アルミ・ステンレス鋳物,特注品の製作,https://www.nc-net.or.jp//company/71572/
674,株式会社橋本金属,銅容器、ステンレス絞り、深絞り加工、単発しごき,プレス加工　電機、仏具、各種設備部品、日用品oem,銅製品、ステンレス製品の製造販売、ノベルティータンブラー,https://www.nc-net.or.jp//company/89550/
675,シンクロテック株式会社,CPLD/FPGA搭載電子制御回路ブロックで電子機器・検査冶具の標準化をPLD搭載標準基板で実現,静電気対策品の提案・対策工事：半導体取扱作業者向けおよび静電気対策環境向け製品,電子機器の試作開発（産業機械、検査装置、検査冶具など）にまつわるアイテム全般,https://www.nc-net.or.jp//company/83869/
676,株式会社オーハマ,一品物の切削部品から真空、射出簡易型製作と試作開発品、量産型製作と量産品の製造,射出成形（試作、量産）,真空成形（試作、量産）,https://www.nc-net.or.jp//company/3041/
677,タミー株式会社,精密金型　設計・製作（プラスチック金型、CIM金型、MIM金型、ダイカスト金型）,精密セラミックス成形品の開発協力・試作・量産,精密プラスチック成形品の開発協力・試作・量産,https://www.nc-net.or.jp//company/64328/
678,株式会社極東精機製作所,小型クランク軸加工,車輌油圧部品,電動ホイスト部品,https://www.nc-net.or.jp//company/69686/
679,株式会社Prodetech,タンケーブル、ダクト、空気圧システム,車輌油圧部品,電動ホイスト部品,https://www.nc-net.or.jp//company/86033/
680,株式会社Co khi Xay lap Thuong mai Minh Cuong,鉄鋼加工,機械加工,電動ホイスト部品,https://www.nc-net.or.jp//company/85496/
681,上海朝洋機電設備有限公司,ショットブラスト材（ショットブラスト材材質：ステーレス、アルミ、銅など。ショットブラスト材形状：針型、ボール型など）,ダイキャスト（材質：アルミ、特殊材料）,久富ダイキャスト㈱,https://www.nc-net.or.jp//company/85663/
682,フィリール株式会社,金属機械部品,フライス,旋盤,https://www.nc-net.or.jp//company/92077/
683,株式会社ブラストン,縫製加工（ユニフォーム、クリーンウェア類,ユニフォーム（作業服・オフィスウェア・ワーキングウェア・サービスウェア）,BCクリーン（クリーンルーム用品・各消耗品）,https://www.nc-net.or.jp//company/94526/
684,エナジーセッケイ機械設計事務所,カスタマイズ専用研削盤・工作機械の機械設計,省力化機械・自動機の機械設計,搬送装置・ロボット・安全柵の機械設計,https://www.nc-net.or.jp//company/75954/
685,東莞市固達機械製造有限会社,機械製造販売：1）両頭フライス盤　2）プラノミラー　3）縦フライス盤　4）丸鋸切断機  5）帯鋸機 　6）門型研磨盤　7）面取機 　8）油圧翻板機　9）マシニングセンタ,省力化機械・自動機の機械設計,搬送装置・ロボット・安全柵の機械設計,https://www.nc-net.or.jp//company/95140/
686,アサヒ通信株式会社,車載オーディオ関連のワイヤーハーネス,AV機器関連のワイヤーハーネス,民生機器関連のワイヤーハーネス,https://www.nc-net.or.jp//company/88928/
687,株式会社ユニオンクリエーション,"精密自動機パーツ,部品","金型パーツ,部品","治具,治工具",https://www.nc-net.or.jp//company/87644/
688,株式会社ベータ,マシニング加工（民生・産業用ロボット部品・液晶製造装置部品・医療機器部品）,NC旋盤・CNC自動旋盤加工（民生・産業用ロボット部品・液晶製造装置部品・医療機器部品）,研削加工（工作機械部品・特殊工具・金型治具・モーター軸・砥石軸）,https://www.nc-net.or.jp//company/80665/
689,Nhat Minh COMPANY LIMITED,金属部品加工切削工具販売,各種工作機械、精密測定器、消耗品販売,日本企業様向けの部品ｱｳﾄｿｰｼﾝｸﾞ仲介,https://www.nc-net.or.jp//company/87688/
690,株式会社ナガセ,フランジ・継手類,アルミ・ステンレス鋳物,特注品の製作,https://www.nc-net.or.jp//company/71572/
691,株式会社橋本金属,銅容器、ステンレス絞り、深絞り加工、単発しごき,プレス加工　電機、仏具、各種設備部品、日用品oem,銅製品、ステンレス製品の製造販売、ノベルティータンブラー,https://www.nc-net.or.jp//company/89550/
692,シンクロテック株式会社,CPLD/FPGA搭載電子制御回路ブロックで電子機器・検査冶具の標準化をPLD搭載標準基板で実現,静電気対策品の提案・対策工事：半導体取扱作業者向けおよび静電気対策環境向け製品,電子機器の試作開発（産業機械、検査装置、検査冶具など）にまつわるアイテム全般,https://www.nc-net.or.jp//company/83869/
693,株式会社オーハマ,一品物の切削部品から真空、射出簡易型製作と試作開発品、量産型製作と量産品の製造,射出成形（試作、量産）,真空成形（試作、量産）,https://www.nc-net.or.jp//company/3041/
694,タミー株式会社,精密金型　設計・製作（プラスチック金型、CIM金型、MIM金型、ダイカスト金型）,精密セラミックス成形品の開発協力・試作・量産,精密プラスチック成形品の開発協力・試作・量産,https://www.nc-net.or.jp//company/64328/
695,株式会社極東精機製作所,小型クランク軸加工,車輌油圧部品,電動ホイスト部品,https://www.nc-net.or.jp//company/69686/
